algorithm,machine,size,variant,metric,value
avx2,zen5,1200,ours-avx2,core_cycles_per_byte,1.32518570
avx2,zen5,1200,ours-avx2,instructions_per_byte,5.78916935
avx2,zen5,1200,ours-avx2,tsc_ticks_per_byte,0.90420714
avx2,zen5,1200,openssl-avx2,core_cycles_per_byte,1.62891442
avx2,zen5,1200,openssl-avx2,instructions_per_byte,4.31333569
avx2,zen5,1200,openssl-avx2,tsc_ticks_per_byte,0.99659305
avx2,zen5,1200,boringssl-avx2,core_cycles_per_byte,1.62631434
avx2,zen5,1200,boringssl-avx2,instructions_per_byte,4.29666905
avx2,zen5,1200,boringssl-avx2,tsc_ticks_per_byte,0.98711805
avx2,zen5,1200,intel-avx2,core_cycles_per_byte,1.67092769
avx2,zen5,1200,intel-avx2,instructions_per_byte,3.31833608
avx2,zen5,1200,intel-avx2,tsc_ticks_per_byte,1.02127936
avx2,zen5,1220,ours-avx2,core_cycles_per_byte,1.55318496
avx2,zen5,1220,ours-avx2,instructions_per_byte,3.99672313
avx2,zen5,1220,ours-avx2,tsc_ticks_per_byte,0.94578147
avx2,zen5,1220,openssl-avx2,core_cycles_per_byte,1.55283284
avx2,zen5,1220,openssl-avx2,instructions_per_byte,3.99180542
avx2,zen5,1220,openssl-avx2,tsc_ticks_per_byte,0.93964134
avx2,zen5,1220,boringssl-avx2,core_cycles_per_byte,1.55213094
avx2,zen5,1220,boringssl-avx2,instructions_per_byte,3.97541162
avx2,zen5,1220,boringssl-avx2,tsc_ticks_per_byte,0.93453102
avx2,zen5,1220,intel-avx2,core_cycles_per_byte,1.64505464
avx2,zen5,1220,intel-avx2,instructions_per_byte,3.25737946
avx2,zen5,1220,intel-avx2,tsc_ticks_per_byte,0.99767972
avx2,zen5,1240,ours-avx2,core_cycles_per_byte,1.52970493
avx2,zen5,1240,ours-avx2,instructions_per_byte,4.04516305
avx2,zen5,1240,ours-avx2,tsc_ticks_per_byte,0.92266820
avx2,zen5,1240,openssl-avx2,core_cycles_per_byte,1.52903244
avx2,zen5,1240,openssl-avx2,instructions_per_byte,4.04032550
avx2,zen5,1240,openssl-avx2,tsc_ticks_per_byte,0.93181544
avx2,zen5,1240,boringssl-avx2,core_cycles_per_byte,1.52953914
avx2,zen5,1240,boringssl-avx2,instructions_per_byte,4.02419578
avx2,zen5,1240,boringssl-avx2,tsc_ticks_per_byte,0.93648475
avx2,zen5,1240,intel-avx2,core_cycles_per_byte,1.62042677
avx2,zen5,1240,intel-avx2,instructions_per_byte,3.21371155
avx2,zen5,1240,intel-avx2,tsc_ticks_per_byte,0.97474972
avx2,zen5,1260,ours-avx2,core_cycles_per_byte,1.54537599
avx2,zen5,1260,ours-avx2,instructions_per_byte,4.09206588
avx2,zen5,1260,ours-avx2,tsc_ticks_per_byte,0.93869982
avx2,zen5,1260,openssl-avx2,core_cycles_per_byte,1.54605243
avx2,zen5,1260,openssl-avx2,instructions_per_byte,4.08730382
avx2,zen5,1260,openssl-avx2,tsc_ticks_per_byte,0.94157848
avx2,zen5,1260,boringssl-avx2,core_cycles_per_byte,1.54312081
avx2,zen5,1260,boringssl-avx2,instructions_per_byte,4.07143140
avx2,zen5,1260,boringssl-avx2,tsc_ticks_per_byte,0.96047381
avx2,zen5,1260,intel-avx2,core_cycles_per_byte,1.59682567
avx2,zen5,1260,intel-avx2,instructions_per_byte,3.17301960
avx2,zen5,1260,intel-avx2,tsc_ticks_per_byte,1.00415583
avx2,zen5,1280,ours-avx2,core_cycles_per_byte,1.48055393
avx2,zen5,1280,ours-avx2,instructions_per_byte,3.78359637
avx2,zen5,1280,ours-avx2,tsc_ticks_per_byte,0.91102345
avx2,zen5,1280,openssl-avx2,core_cycles_per_byte,1.48072184
avx2,zen5,1280,openssl-avx2,instructions_per_byte,3.77890872
avx2,zen5,1280,openssl-avx2,tsc_ticks_per_byte,0.90427044
avx2,zen5,1280,boringssl-avx2,core_cycles_per_byte,1.48070684
avx2,zen5,1280,boringssl-avx2,instructions_per_byte,3.76328459
avx2,zen5,1280,boringssl-avx2,tsc_ticks_per_byte,0.91762304
avx2,zen5,1280,intel-avx2,core_cycles_per_byte,1.56548865
avx2,zen5,1280,intel-avx2,instructions_per_byte,3.05000310
avx2,zen5,1280,intel-avx2,tsc_ticks_per_byte,0.96184267
avx2,zen5,1300,ours-avx2,core_cycles_per_byte,1.45927404
avx2,zen5,1300,ours-avx2,instructions_per_byte,3.83846431
avx2,zen5,1300,ours-avx2,tsc_ticks_per_byte,0.89970943
avx2,zen5,1300,openssl-avx2,core_cycles_per_byte,1.45902159
avx2,zen5,1300,openssl-avx2,instructions_per_byte,3.83384854
avx2,zen5,1300,openssl-avx2,tsc_ticks_per_byte,0.89054357
avx2,zen5,1300,boringssl-avx2,core_cycles_per_byte,1.45914276
avx2,zen5,1300,boringssl-avx2,instructions_per_byte,3.81846440
avx2,zen5,1300,boringssl-avx2,tsc_ticks_per_byte,0.90507613
avx2,zen5,1300,intel-avx2,core_cycles_per_byte,1.60646743
avx2,zen5,1300,intel-avx2,instructions_per_byte,3.55615689
avx2,zen5,1300,intel-avx2,tsc_ticks_per_byte,1.00317307
avx2,zen5,1330,ours-avx2,core_cycles_per_byte,1.47009064
avx2,zen5,1330,ours-avx2,instructions_per_byte,3.90977810
avx2,zen5,1330,ours-avx2,tsc_ticks_per_byte,0.92380509
avx2,zen5,1330,openssl-avx2,core_cycles_per_byte,1.46958136
avx2,zen5,1330,openssl-avx2,instructions_per_byte,3.90526620
avx2,zen5,1330,openssl-avx2,tsc_ticks_per_byte,0.90505048
avx2,zen5,1330,boringssl-avx2,core_cycles_per_byte,1.46782722
avx2,zen5,1330,boringssl-avx2,instructions_per_byte,3.89022834
avx2,zen5,1330,boringssl-avx2,tsc_ticks_per_byte,0.90120704
avx2,zen5,1330,intel-avx2,core_cycles_per_byte,1.56989948
avx2,zen5,1330,intel-avx2,instructions_per_byte,3.47744695
avx2,zen5,1330,intel-avx2,tsc_ticks_per_byte,0.96931891
avx2,zen5,1350,ours-avx2,core_cycles_per_byte,1.40646070
avx2,zen5,1350,ours-avx2,instructions_per_byte,3.62518647
avx2,zen5,1350,ours-avx2,tsc_ticks_per_byte,0.84558880
avx2,zen5,1350,openssl-avx2,core_cycles_per_byte,1.40624085
avx2,zen5,1350,openssl-avx2,instructions_per_byte,3.62074202
avx2,zen5,1350,openssl-avx2,tsc_ticks_per_byte,0.83079896
avx2,zen5,1350,boringssl-avx2,core_cycles_per_byte,1.40531495
avx2,zen5,1350,boringssl-avx2,instructions_per_byte,3.60592727
avx2,zen5,1350,boringssl-avx2,tsc_ticks_per_byte,0.84303795
avx2,zen5,1350,intel-avx2,core_cycles_per_byte,1.55013934
avx2,zen5,1350,intel-avx2,instructions_per_byte,3.43407553
avx2,zen5,1350,intel-avx2,tsc_ticks_per_byte,0.93192344
avx2,zen5,1360,ours-avx2,core_cycles_per_byte,1.39620149
avx2,zen5,1360,ours-avx2,instructions_per_byte,3.65000131
avx2,zen5,1360,ours-avx2,tsc_ticks_per_byte,0.83338513
avx2,zen5,1360,openssl-avx2,core_cycles_per_byte,1.39627230
avx2,zen5,1360,openssl-avx2,instructions_per_byte,3.64558952
avx2,zen5,1360,openssl-avx2,tsc_ticks_per_byte,0.83360752
avx2,zen5,1360,boringssl-avx2,core_cycles_per_byte,1.39633152
avx2,zen5,1360,boringssl-avx2,instructions_per_byte,3.63088369
avx2,zen5,1360,boringssl-avx2,tsc_ticks_per_byte,0.83372917
avx2,zen5,1360,intel-avx2,core_cycles_per_byte,1.53846799
avx2,zen5,1360,intel-avx2,instructions_per_byte,3.41250128
avx2,zen5,1360,intel-avx2,tsc_ticks_per_byte,0.91441352
avx2,zen5,1370,ours-avx2,core_cycles_per_byte,1.39061234
avx2,zen5,1370,ours-avx2,instructions_per_byte,3.67445378
avx2,zen5,1370,ours-avx2,tsc_ticks_per_byte,0.83021836
avx2,zen5,1370,openssl-avx2,core_cycles_per_byte,1.38956334
avx2,zen5,1370,openssl-avx2,instructions_per_byte,3.67007424
avx2,zen5,1370,openssl-avx2,tsc_ticks_per_byte,0.82946364
avx2,zen5,1370,boringssl-avx2,core_cycles_per_byte,1.38843129
avx2,zen5,1370,boringssl-avx2,instructions_per_byte,3.65547573
avx2,zen5,1370,boringssl-avx2,tsc_ticks_per_byte,0.82718010
avx2,zen5,1370,intel-avx2,core_cycles_per_byte,1.52556828
avx2,zen5,1370,intel-avx2,instructions_per_byte,3.39197214
avx2,zen5,1370,intel-avx2,tsc_ticks_per_byte,0.90860028
avx2,zen5,1380,ours-avx2,core_cycles_per_byte,1.40669594
avx2,zen5,1380,ours-avx2,instructions_per_byte,3.69855195
avx2,zen5,1380,ours-avx2,tsc_ticks_per_byte,0.83772700
avx2,zen5,1380,openssl-avx2,core_cycles_per_byte,1.40466845
avx2,zen5,1380,openssl-avx2,instructions_per_byte,3.69420519
avx2,zen5,1380,openssl-avx2,tsc_ticks_per_byte,0.87405830
avx2,zen5,1380,boringssl-avx2,core_cycles_per_byte,1.40604250
avx2,zen5,1380,boringssl-avx2,instructions_per_byte,3.67971143
avx2,zen5,1380,boringssl-avx2,tsc_ticks_per_byte,0.83799588
avx2,zen5,1380,intel-avx2,core_cycles_per_byte,1.51571353
avx2,zen5,1380,intel-avx2,instructions_per_byte,3.35869702
avx2,zen5,1380,intel-avx2,tsc_ticks_per_byte,0.90581081
avx2,zen5,1390,ours-avx2,core_cycles_per_byte,1.40109563
avx2,zen5,1390,ours-avx2,instructions_per_byte,3.72230347
avx2,zen5,1390,ours-avx2,tsc_ticks_per_byte,0.83360346
avx2,zen5,1390,openssl-avx2,core_cycles_per_byte,1.40177274
avx2,zen5,1390,openssl-avx2,instructions_per_byte,3.71798689
avx2,zen5,1390,openssl-avx2,tsc_ticks_per_byte,0.84245036
avx2,zen5,1390,boringssl-avx2,core_cycles_per_byte,1.40273130
avx2,zen5,1390,boringssl-avx2,instructions_per_byte,3.70359840
avx2,zen5,1390,boringssl-avx2,tsc_ticks_per_byte,0.84141744
avx2,zen5,1390,intel-avx2,core_cycles_per_byte,1.50853009
avx2,zen5,1390,intel-avx2,instructions_per_byte,3.35251933
avx2,zen5,1390,intel-avx2,tsc_ticks_per_byte,0.89779678
avx2,zen5,1400,ours-avx2,core_cycles_per_byte,1.39801256
avx2,zen5,1400,ours-avx2,instructions_per_byte,3.74571551
avx2,zen5,1400,ours-avx2,tsc_ticks_per_byte,0.83682468
avx2,zen5,1400,openssl-avx2,core_cycles_per_byte,1.39776744
avx2,zen5,1400,openssl-avx2,instructions_per_byte,3.74142997
avx2,zen5,1400,openssl-avx2,tsc_ticks_per_byte,0.83918960
avx2,zen5,1400,boringssl-avx2,core_cycles_per_byte,1.39976271
avx2,zen5,1400,boringssl-avx2,instructions_per_byte,3.72714417
avx2,zen5,1400,boringssl-avx2,tsc_ticks_per_byte,0.84308955
avx2,zen5,1400,intel-avx2,core_cycles_per_byte,1.49682009
avx2,zen5,1400,intel-avx2,instructions_per_byte,3.31857274
avx2,zen5,1400,intel-avx2,tsc_ticks_per_byte,0.89497517
avx2,zen5,1410,ours-avx2,core_cycles_per_byte,1.33696631
avx2,zen5,1410,ours-avx2,instructions_per_byte,3.45248349
avx2,zen5,1410,ours-avx2,tsc_ticks_per_byte,0.79878756
avx2,zen5,1410,openssl-avx2,core_cycles_per_byte,1.33921276
avx2,zen5,1410,openssl-avx2,instructions_per_byte,3.44822820
avx2,zen5,1410,openssl-avx2,tsc_ticks_per_byte,0.80625349
avx2,zen5,1410,boringssl-avx2,core_cycles_per_byte,1.33607249
avx2,zen5,1410,boringssl-avx2,instructions_per_byte,3.43404383
avx2,zen5,1410,boringssl-avx2,tsc_ticks_per_byte,0.79793829
avx2,zen5,1410,intel-avx2,core_cycles_per_byte,1.48449107
avx2,zen5,1410,intel-avx2,instructions_per_byte,3.28368928
avx2,zen5,1410,intel-avx2,tsc_ticks_per_byte,0.88389835
avx2,zen5,1420,ours-avx2,core_cycles_per_byte,1.33813689
avx2,zen5,1420,ours-avx2,instructions_per_byte,3.47746601
avx2,zen5,1420,ours-avx2,tsc_ticks_per_byte,0.80293331
avx2,zen5,1420,openssl-avx2,core_cycles_per_byte,1.33847564
avx2,zen5,1420,openssl-avx2,instructions_per_byte,3.47324069
avx2,zen5,1420,openssl-avx2,tsc_ticks_per_byte,0.80135099
avx2,zen5,1420,boringssl-avx2,core_cycles_per_byte,1.33847412
avx2,zen5,1420,boringssl-avx2,instructions_per_byte,3.45915624
avx2,zen5,1420,boringssl-avx2,tsc_ticks_per_byte,0.80939822
avx2,zen5,1420,intel-avx2,core_cycles_per_byte,1.47588899
avx2,zen5,1420,intel-avx2,instructions_per_byte,3.27605771
avx2,zen5,1420,intel-avx2,tsc_ticks_per_byte,0.89119708
avx2,zen5,4096,ours-avx2,core_cycles_per_byte,1.14415693
avx2,zen5,4096,ours-avx2,instructions_per_byte,4.90478632
avx2,zen5,4096,ours-avx2,tsc_ticks_per_byte,0.68182677
avx2,zen5,4096,openssl-avx2,core_cycles_per_byte,1.23384479
avx2,zen5,4096,openssl-avx2,instructions_per_byte,3.13598749
avx2,zen5,4096,openssl-avx2,tsc_ticks_per_byte,0.73628551
avx2,zen5,4096,boringssl-avx2,core_cycles_per_byte,1.23256272
avx2,zen5,4096,boringssl-avx2,instructions_per_byte,3.13110474
avx2,zen5,4096,boringssl-avx2,tsc_ticks_per_byte,0.73453975
avx2,zen5,4096,intel-avx2,core_cycles_per_byte,1.34139162
avx2,zen5,4096,intel-avx2,instructions_per_byte,2.92505005
avx2,zen5,4096,intel-avx2,tsc_ticks_per_byte,0.79882216
avx2,zen5,4115,ours-avx2,core_cycles_per_byte,1.22822657
avx2,zen5,4115,ours-avx2,instructions_per_byte,5.29015912
avx2,zen5,4115,ours-avx2,tsc_ticks_per_byte,0.73518630
avx2,zen5,4115,openssl-avx2,core_cycles_per_byte,1.37892305
avx2,zen5,4115,openssl-avx2,instructions_per_byte,3.53608877
avx2,zen5,4115,openssl-avx2,tsc_ticks_per_byte,0.82034297
avx2,zen5,4115,boringssl-avx2,core_cycles_per_byte,1.37911769
avx2,zen5,4115,boringssl-avx2,instructions_per_byte,3.53122850
avx2,zen5,4115,boringssl-avx2,tsc_ticks_per_byte,0.82132551
avx2,zen5,4115,intel-avx2,core_cycles_per_byte,1.46684396
avx2,zen5,4115,intel-avx2,instructions_per_byte,3.02697577
avx2,zen5,4115,intel-avx2,tsc_ticks_per_byte,0.87388465
avx2,zen5,4134,ours-avx2,core_cycles_per_byte,1.23317142
avx2,zen5,4134,ours-avx2,instructions_per_byte,5.29801782
avx2,zen5,4134,ours-avx2,tsc_ticks_per_byte,0.74584484
avx2,zen5,4134,openssl-avx2,core_cycles_per_byte,1.38033171
avx2,zen5,4134,openssl-avx2,instructions_per_byte,3.55200902
avx2,zen5,4134,openssl-avx2,tsc_ticks_per_byte,0.82290359
avx2,zen5,4134,boringssl-avx2,core_cycles_per_byte,1.38438064
avx2,zen5,4134,boringssl-avx2,instructions_per_byte,3.54717106
avx2,zen5,4134,boringssl-avx2,tsc_ticks_per_byte,0.82562901
avx2,zen5,4134,intel-avx2,core_cycles_per_byte,1.46033083
avx2,zen5,4134,intel-avx2,instructions_per_byte,3.01524076
avx2,zen5,4134,intel-avx2,tsc_ticks_per_byte,0.87056083
